Num episodes,Cumulative rewards
10,"[-218.0, 806.0, -215.0, -200.0, -208.0, -213.0, 883.0, -202.0, -214.0, -201.0]"
20,"[805.0, -215.0, -236.0, -217.0, -208.0, -220.0, -213.0, -202.0, -229.0, -205.0]"
30,"[820.0, -230.0, -227.0, -210.0, 805.0, -224.0, -205.0, 781.0, -214.0, -224.0]"
40,"[-206.0, 774.0, -230.0, 770.0, -228.0, 808.0, 807.0, -222.0, 805.0, 808.0]"
50,"[805.0, 807.0, -206.0, -226.0, -225.0, -211.0, 805.0, -204.0, -200.0, -219.0]"
60,"[770.0, -226.0, 807.0, -227.0, -217.0, 808.0, -230.0, -207.0, -226.0, -206.0]"
70,"[804.0, 805.0, -209.0, -225.0, -227.0, -219.0, -207.0, -231.0, -210.0, -228.0]"
80,"[-205.0, -206.0, -231.0, -226.0, -231.0, 808.0, -205.0, 807.0, 807.0, -226.0]"
90,"[-228.0, -202.0, -205.0, -202.0, 805.0, -226.0, -226.0, -210.0, -228.0, -231.0]"
100,"[-213.0, -226.0, 768.0, -205.0, 820.0, 807.0, 805.0, 835.0, 802.0, -217.0]"
110,"[-204.0, -219.0, -219.0, -231.0, -206.0, -228.0, -219.0, -205.0, -205.0, 805.0]"
120,"[-224.0, 807.0, -222.0, 805.0, -201.0, -206.0, -205.0, -217.0, -227.0, -210.0]"
130,"[-219.0, -202.0, -215.0, -215.0, -228.0, 807.0, 808.0, 802.0, 805.0, -211.0]"
140,"[807.0, -219.0, 769.0, 808.0, -219.0, -202.0, -227.0, -222.0, 807.0, -206.0]"
150,"[-226.0, -204.0, -231.0, -202.0, -227.0, -227.0, -227.0, -219.0, -225.0, -204.0]"
160,"[-229.0, -227.0, -205.0, -227.0, -224.0, 884.0, 807.0, -208.0, -219.0, 774.0]"
170,"[-205.0, -228.0, -202.0, -205.0, -213.0, -227.0, 805.0, -206.0, 805.0, -213.0]"
180,"[-202.0, -207.0, 808.0, 805.0, -204.0, -219.0, -231.0, 805.0, -202.0, -217.0]"
190,"[-226.0, -210.0, 807.0, -210.0, -207.0, -226.0, 880.0, -225.0, -204.0, 805.0]"
200,"[819.0, 805.0, -205.0, -226.0, -210.0, -224.0, -225.0, -207.0, -228.0, -217.0]"
210,"[-200.0, -200.0, -205.0, -201.0, -200.0, -200.0, -235.0, -209.0, -200.0, -215.0]"
220,"[-202.0, -200.0, -202.0, -200.0, -211.0, -200.0, -201.0, -200.0, -200.0, -201.0]"
230,"[-200.0, -211.0, -200.0, -202.0, -221.0, -200.0, -200.0, -215.0, -200.0, -200.0]"
240,"[831.0, 826.0, -230.0, 826.0, 823.0, -213.0, 825.0, -211.0, -213.0, -212.0]"
250,"[-202.0, -225.0, -227.0, -231.0, -209.0, -202.0, -206.0, -223.0, -228.0, -227.0]"
260,"[-201.0, -201.0, -200.0, -200.0, -200.0, -202.0, -202.0, -231.0, -201.0, -200.0]"
270,"[-218.0, -203.0, -212.0, 812.0, 815.0, -210.0, 817.0, -210.0, 832.0, 817.0]"
280,"[857.0, 857.0, 852.0, 857.0, 857.0, 852.0, 857.0, 853.0, 857.0, 857.0]"
290,"[-227.0, -221.0, -213.0, -226.0, -231.0, -217.0, -227.0, -210.0, -226.0, -220.0]"
300,"[-218.0, -217.0, -216.0, -228.0, -216.0, -227.0, -215.0, -227.0, -218.0, -225.0]"
310,"[-221.0, -225.0, -228.0, -222.0, -210.0, -226.0, -218.0, -218.0, -223.0, -227.0]"
320,"[-206.0, -223.0, -216.0, -223.0, -212.0, -227.0, -227.0, -203.0, -216.0, -217.0]"
330,"[-203.0, -228.0, -225.0, -223.0, -228.0, -213.0, -226.0, -225.0, -228.0, -226.0]"
340,"[-201.0, -228.0, -216.0, -217.0, -200.0, -218.0, -203.0, -202.0, -223.0, -218.0]"
350,"[-234.0, -216.0, -217.0, -227.0, -227.0, -210.0, -221.0, -230.0, -227.0, -218.0]"
360,"[-227.0, -223.0, 880.0, -216.0, -209.0, -228.0, -217.0, -223.0, -223.0, -226.0]"
370,"[-203.0, -225.0, -228.0, -206.0, -223.0, -221.0, -201.0, -216.0, -218.0, -231.0]"
380,"[-215.0, -218.0, -220.0, -211.0, -225.0, -225.0, -211.0, -227.0, -216.0, -210.0]"
390,"[-205.0, -223.0, -222.0, -218.0, -207.0, -201.0, -217.0, -227.0, -222.0, -217.0]"
400,"[-227.0, -217.0, -227.0, -220.0, -217.0, -217.0, -225.0, -231.0, -217.0, -221.0]"
410,"[-224.0, -200.0, -201.0, -201.0, -200.0, -212.0, -202.0, -222.0, -200.0, -200.0]"
420,"[-215.0, -219.0, -214.0, -217.0, -221.0, -219.0, -218.0, -213.0, -218.0, -215.0]"
430,"[-227.0, -212.0, -212.0, -211.0, -201.0, -215.0, -212.0, -233.0, -222.0, -200.0]"
440,"[-218.0, -221.0, -217.0, -217.0, -217.0, -201.0, -219.0, -216.0, -221.0, -218.0]"
450,"[-200.0, -200.0, -200.0, -205.0, -202.0, -201.0, -214.0, -206.0, -201.0, -202.0]"
460,"[-201.0, -201.0, -203.0, 814.0, -200.0, -211.0, -208.0, -205.0, -227.0, -205.0]"
470,"[-225.0, -228.0, -228.0, -203.0, -227.0, -228.0, -202.0, 808.0, 808.0, -216.0]"
480,"[-203.0, -200.0, -203.0, -208.0, -206.0, -202.0, -203.0, -203.0, -204.0, 796.0]"
490,"[-213.0, -206.0, -205.0, -226.0, -201.0, -225.0, -201.0, 792.0, -211.0, -206.0]"
500,"[813.0, -207.0, -203.0, -206.0, 813.0, 810.0, 813.0, -221.0, -201.0, -226.0]"
510,"[812.0, 812.0, -227.0, -228.0, -227.0, 812.0, -220.0, -226.0, 810.0, -220.0]"
520,"[-228.0, -227.0, -227.0, 813.0, -203.0, 813.0, -205.0, -201.0, 808.0, 811.0]"
530,"[-227.0, 810.0, 809.0, -203.0, 812.0, -220.0, 810.0, -227.0, -225.0, -200.0]"
540,"[-201.0, -207.0, 812.0, -226.0, 811.0, -210.0, 809.0, -227.0, 809.0, -231.0]"
