Num episodes,Cumulative rewards
10,"[-108, -1026, -100, -1059, -1095, 975, -1073, 960, -1045, -107]"
20,"[932, -1082, -1006, -100, -1013, -1034, 981, 989, -1005, -1017]"
30,"[911, -102, -1020, 979, -1037, -1038, -1047, -1014, 988, 954]"
40,"[-1054, 963, 926, 974, 965, 917, -1084, 950, -1026, 964]"
50,"[990, 981, -1059, 963, -1088, -1014, 969, 952, 953, -1009]"
60,"[-118, -103, 892, -1058, -1011, -108, -1029, -1019, 910, -1012]"
70,"[-1082, -1032, -1040, 988, 941, -1009, -108, 990, -1024, 928]"
80,"[-1103, 935, 957, 932, 978, 976, 983, 983, 928, -1026]"
90,"[-1010, -1033, -1026, 982, 960, -1024, 952, -1038, -1019, 986]"
100,"[-1062, 984, -1061, 934, -1012, 974, 986, 987, -1030, 910]"
110,"[983, -1046, -1031, 994, -1054, -1008, 965, -1080, 972, -100]"
120,"[-1006, -1044, -1053, -1010, 941, -1055, -1036, 968, -117, -1078]"
130,"[942, 987, -1011, -103, -1022, 994, 935, 945, -1009, -1086]"
140,"[-1014, 939, -1057, 967, 965, -102, -100, -1037, -1045, -1024]"
150,"[-100, 921, -100, 977, 920, 996, -1039, -1050, -1041, 971]"
160,"[-1023, -102, -100, 975, -1006, -101, -1052, -1095, 983, 950]"
170,"[-1030, -1014, -100, -1100, 992, -1111, 929, 941, 968, 909]"
180,"[962, 961, 959, 978, -1046, -1029, 936, -100, 956, -1012]"
190,"[916, -1060, 960, 944, 982, -1025, 900, -109, 909, -107]"
200,"[-102, 928, -1094, -100, -1061, -1008, -1039, 977, -111, -1057]"
210,"[-1015, -1020, -1017, 935, -1040, -1034, -1030, -1021, 971, -1075]"
220,"[-1075, -1012, -1039, -103, -100, 991, 929, 975, 951, 968]"
230,"[-1064, 953, -1010, 962, -1078, 969, -1079, 933, 991, 927]"
240,"[990, 958, -1067, -100, 980, -100, -116, -119, -1005, -1029]"
250,"[-1048, -134, 978, -1046, 922, 971, 973, 982, -1009, 985]"
260,"[940, -1091, 990, -1056, 902, -1014, -1015, -1030, -100, -1059]"
270,"[-1089, -1059, 897, 988, -1066, 982, -101, 938, -1020, 927]"
280,"[949, 942, 962, -101, -1009, 941, 983, -112, 946, -1087]"
290,"[-1015, 965, 992, 993, -1044, -101, -1035, -1025, -104, -111]"
300,"[-1055, -1056, -100, 929, -1028, -100, 988, 921, -107, -1064]"
310,"[-1023, -1051, 943, 936, -107, 978, -1032, 950, 986, -1085]"
320,"[972, 988, -1071, -104, 959, -101, 970, 938, 905, 955]"
330,"[-1073, 982, 967, -1014, 988, -1049, -1076, -1029, 960, 982]"
340,"[-1020, -1101, 987, 984, -1095, -1010, -1015, 977, 972, 982]"
350,"[-1084, -1044, -1067, 957, -108, 951, -1023, 964, -1033, 912]"
360,"[990, -100, 993, 921, -100, -101, 961, 980, -1008, -1027]"
370,"[967, -1046, -100, -1024, 982, 928, -1009, 969, 961, 978]"
380,"[933, 955, 950, 937, -1072, -1051, 993, -105, -100, 955]"
390,"[981, -1010, -1066, -102, -1050, -1024, 927, -100, -1066, -100]"
400,"[-1010, -1037, -1026, -1010, 943, -1021, -101, 979, -101, -1055]"
410,"[-112, -1067, 950, -1038, -103, -101, -1010, -1016, -1078, 928]"
420,"[-1074, -107, -1099, -101, -1063, -105, 993, 993, 907, -1042]"
430,"[955, -1015, 921, 921, 927, 953, 987, 985, 976, 959]"
440,"[-1011, -1014, -1053, -101, -1021, 968, -1008, -1021, -1016, 979]"
450,"[992, -1024, 957, -1042, -1060, 916, -1014, -1014, 940, -1036]"
460,"[-1080, 969, -1045, -1048, 993, -1008, 954, 935, 924, 976]"
470,"[979, -1013, 960, 961, -1050, -1010, -1057, -102, 917, 931]"
480,"[-101, 941, -1021, -102, -1010, -105, -1027, -100, 981, -1060]"
490,"[-102, 967, 987, -1018, 987, 952, -1025, -105, -1056, -1017]"
500,"[-1050, -101, 978, -103, -1046, 987, -1029, -1026, 966, 971]"
510,"[-1024, -1021, -1005, 982, 911, -1029, -101, -1078, 973, 987]"
520,"[-101, 954, 946, 952, -1039, 984, -1016, -1095, -1040, 894]"
530,"[-102, 991, -1022, 981, -1046, -1043, -1097, 951, 949, -1014]"
540,"[944, -1028, -1018, -110, 959, -1007, -1060, 982, -1057, 993]"
550,"[-1024, -1039, 988, 989, -1079, -1023, 928, -1010, 983, -1029]"
560,"[916, -1080, 979, -1056, 994, -100, -1013, 979, 942, 972]"
570,"[-1095, -1016, -1014, -1030, 992, -1013, -100, 966, 957, 939]"
580,"[-100, 949, -1031, -116, 896, -100, -1012, 959, -101, -109]"
