Num episodes,Cumulative rewards
10,"[-1.0, -2.0, 20.0, -2.0, 0.0, 25.0, 1.0, 0.0, -1.0, 12.0]"
20,"[0.0, -2.0, -1.0, -1.0, 0.0, 17.0, -1.0, 9.0, -2.0, 18.0]"
30,"[15.0, -3.0, -2.0, 13.0, -2.0, -3.0, -2.0, 0.0, -1.0, -1.0]"
40,"[-1.0, 9.0, -1.0, -2.0, 29.0, -1.0, -2.0, -2.0, -3.0, -1.0]"
50,"[14.0, -2.0, 9.0, -1.0, -3.0, 0.0, 9.0, 23.0, -1.0, -2.0]"
60,"[21.0, -1.0, -1.0, -1.0, -2.0, 13.0, -1.0, 0.0, -3.0, -1.0]"
70,"[1.0, 11.0, 0.0, -1.0, 10.0, -2.0, -1.0, -2.0, -2.0, 0.0]"
80,"[-2.0, -1.0, -2.0, 15.0, -1.0, -1.0, -2.0, 16.0, -2.0, 0.0]"
90,"[-2.0, 23.0, 9.0, 14.0, -2.0, 13.0, 0.0, 0.0, -2.0, -2.0]"
100,"[-1.0, 21.0, 10.0, 0.0, -1.0, -2.0, -2.0, 9.0, -1.0, -1.0]"
110,"[-1.0, 0.0, -1.0, -2.0, -2.0, 31.0, -2.0, -2.0, -1.0, 17.0]"
120,"[0.0, -1.0, -2.0, -1.0, -1.0, -3.0, -1.0, -1.0, -2.0, 22.0]"
130,"[-2.0, -1.0, -1.0, -1.0, 10.0, -1.0, -3.0, -2.0, 18.0, -3.0]"
140,"[-2.0, -1.0, -1.0, 0.0, 0.0, -2.0, 0.0, 0.0, -1.0, -2.0]"
150,"[-1.0, 11.0, -2.0, -2.0, -2.0, -3.0, -2.0, -1.0, -3.0, -1.0]"
160,"[-2.0, -1.0, 10.0, -1.0, -3.0, -2.0, -1.0, 19.0, -2.0, 0.0]"
170,"[9.0, 30.0, 7.0, -2.0, -2.0, 1.0, 0.0, -1.0, -2.0, -2.0]"
180,"[-2.0, -2.0, -2.0, -2.0, -1.0, -2.0, -2.0, -2.0, -2.0, -3.0]"
190,"[-1.0, -1.0, -2.0, -2.0, -2.0, -2.0, -1.0, 9.0, 13.0, 1.0]"
200,"[21.0, 18.0, 18.0, -2.0, 31.0, -1.0, 2.0, -3.0, -2.0, -2.0]"
210,"[11.0, 8.0, 18.0, -1.0, -2.0, 34.0, -2.0, -2.0, 2.0, 20.0]"
220,"[9.0, -1.0, -1.0, 13.0, 11.0, 18.0, 11.0, 23.0, 16.0, 25.0]"
230,"[1.0, 16.0, -2.0, -2.0, 11.0, -3.0, -2.0, -2.0, -1.0, -2.0]"
240,"[-1.0, 9.0, -2.0, -1.0, 0.0, -1.0, -3.0, -2.0, -2.0, 8.0]"
250,"[-2.0, -1.0, -3.0, 12.0, 5.0, -1.0, -2.0, 5.0, 2.0, 12.0]"
260,"[10.0, 50.0, -3.0, -2.0, -1.0, 19.0, -3.0, -1.0, -1.0, 21.0]"
270,"[-1.0, -2.0, -3.0, 24.0, 10.0, -2.0, 12.0, -2.0, 10.0, 0.0]"
280,"[10.0, 9.0, 8.0, -1.0, 0.0, -2.0, -3.0, 10.0, -3.0, -1.0]"
290,"[-3.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 14.0, -2.0, 0.0]"
300,"[17.0, 12.0, -1.0, -1.0, -2.0, 1.0, -2.0, -2.0, -1.0, -1.0]"
310,"[-3.0, -2.0, 16.0, -2.0, -2.0, -2.0, 24.0, -2.0, 6.0, 0.0]"
320,"[-1.0, 17.0, 0.0, -3.0, 1.0, -2.0, -2.0, 10.0, -1.0, -1.0]"
330,"[18.0, -2.0, 0.0, -1.0, -2.0, -1.0, -1.0, 11.0, 0.0, 16.0]"
340,"[0.0, 15.0, 0.0, 12.0, -2.0, 8.0, 8.0, -2.0, -2.0, -2.0]"
350,"[0.0, -2.0, -2.0, -3.0, -2.0, -3.0, -2.0, -3.0, -3.0, 11.0]"
360,"[10.0, 22.0, -1.0, -2.0, 36.0, 3.0, -1.0, 37.0, -1.0, 11.0]"
370,"[0.0, 14.0, 25.0, -1.0, -1.0, -1.0, -1.0, -3.0, 15.0, 1.0]"
380,"[-1.0, 23.0, -2.0, 8.0, -1.0, -1.0, 0.0, 11.0, 24.0, -1.0]"
390,"[-1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 11.0, 5.0, -2.0, 50.0]"
400,"[32.0, -1.0, -2.0, 1.0, 13.0, -2.0, 15.0, 0.0, 8.0, 10.0]"
410,"[0.0, -2.0, -2.0, -2.0, -2.0, 16.0, -1.0, 17.0, 15.0, -2.0]"
420,"[31.0, 24.0, -2.0, 21.0, -2.0, -2.0, -1.0, 9.0, 16.0, 1.0]"
430,"[13.0, 2.0, -2.0, -1.0, -1.0, -2.0, -1.0, -2.0, 37.0, -1.0]"
440,"[-1.0, 0.0, -2.0, -1.0, -2.0, -2.0, 1.0, 14.0, -3.0, 35.0]"
450,"[1.0, -1.0, 0.0, -2.0, -3.0, -2.0, -3.0, 14.0, -2.0, 28.0]"
460,"[13.0, 8.0, -1.0, -1.0, 0.0, -1.0, -1.0, 14.0, 13.0, -1.0]"
470,"[31.0, -2.0, 8.0, -2.0, 12.0, 16.0, 16.0, -3.0, 1.0, 50.0]"
480,"[0.0, 32.0, -2.0, -2.0, -2.0, -2.0, 0.0, 27.0, -3.0, 7.0]"
490,"[34.0, 12.0, 11.0, -2.0, 11.0, 50.0, 50.0, 15.0, -2.0, -2.0]"
500,"[-2.0, -2.0, 27.0, 30.0, 50.0, 9.0, -2.0, 21.0, -2.0, -2.0]"
510,"[-2.0, -3.0, 18.0, -2.0, -2.0, 8.0, 50.0, -2.0, 14.0, 15.0]"
520,"[-1.0, -3.0, 14.0, 8.0, -1.0, -2.0, 5.0, -1.0, -2.0, 3.0]"
530,"[37.0, -1.0, 13.0, 9.0, 0.0, -2.0, 14.0, 11.0, 34.0, 16.0]"
540,"[26.0, 35.0, 36.0, 24.0, 13.0, 4.0, 17.0, -2.0, -2.0, -2.0]"
550,"[27.0, 11.0, 39.0, 32.0, -3.0, -2.0, 1.0, 3.0, -2.0, -2.0]"
560,"[1.0, 14.0, 0.0, 11.0, -3.0, -2.0, 15.0, 9.0, -1.0, -1.0]"
570,"[9.0, -1.0, 17.0, -2.0, 0.0, 0.0, 17.0, 14.0, 14.0, -2.0]"
580,"[12.0, 50.0, -2.0, 9.0, -2.0, 17.0, -1.0, 13.0, -2.0, 9.0]"
590,"[8.0, -3.0, -3.0, -3.0, -1.0, -3.0, 0.0, 19.0, -2.0, -1.0]"
600,"[-2.0, 8.0, 7.0, 11.0, -1.0, 9.0, 16.0, 14.0, -1.0, 20.0]"
610,"[-2.0, 5.0, 8.0, -1.0, -3.0, 12.0, -1.0, 7.0, 9.0, 7.0]"
620,"[2.0, -1.0, 9.0, 39.0, 12.0, -1.0, 4.0, 0.0, -3.0, -2.0]"
630,"[14.0, -3.0, -1.0, 8.0, -1.0, 1.0, 3.0, 2.0, -2.0, -2.0]"
640,"[2.0, 0.0, -1.0, -1.0, 3.0, 6.0, 0.0, -3.0, -2.0, -2.0]"
650,"[0.0, 5.0, 3.0, 1.0, -1.0, 9.0, 13.0, 4.0, -1.0, 50.0]"
660,"[5.0, 4.0, -2.0, 10.0, -1.0, -3.0, -2.0, 8.0, -2.0, -2.0]"
670,"[8.0, 14.0, 1.0, -2.0, 11.0, 1.0, 4.0, -1.0, 0.0, 4.0]"
680,"[-2.0, 8.0, 19.0, 36.0, 18.0, 18.0, -2.0, -2.0, 50.0, 10.0]"
690,"[19.0, 3.0, 0.0, -2.0, -1.0, -1.0, -1.0, 13.0, 19.0, -3.0]"
700,"[7.0, -2.0, 13.0, 18.0, 0.0, 20.0, 0.0, -1.0, 24.0, -1.0]"
710,"[-3.0, 3.0, -2.0, 28.0, 0.0, 6.0, -3.0, -2.0, 13.0, 13.0]"
720,"[50.0, 27.0, 1.0, -2.0, 15.0, 0.0, -3.0, -2.0, 11.0, 50.0]"
730,"[7.0, 28.0, -1.0, 50.0, 19.0, -2.0, 0.0, -2.0, 30.0, 24.0]"
740,"[4.0, 12.0, -2.0, 0.0, 15.0, 22.0, -2.0, 19.0, 4.0, -2.0]"
750,"[27.0, -1.0, 7.0, 0.0, -3.0, 23.0, 15.0, 8.0, -1.0, -2.0]"
760,"[-3.0, 32.0, 9.0, 27.0, 50.0, 3.0, 34.0, 8.0, 4.0, 35.0]"
770,"[5.0, 29.0, 11.0, 0.0, -2.0, 2.0, 14.0, -2.0, -1.0, 0.0]"
780,"[-1.0, 13.0, 9.0, -2.0, 2.0, 50.0, -1.0, 10.0, 11.0, 8.0]"
790,"[25.0, 23.0, -1.0, -1.0, 9.0, 8.0, -2.0, -2.0, 12.0, 28.0]"
800,"[3.0, 18.0, 19.0, 12.0, 1.0, -1.0, -2.0, 20.0, 8.0, 8.0]"
810,"[-1.0, -2.0, 2.0, 1.0, 0.0, -2.0, -2.0, 0.0, -1.0, 15.0]"
820,"[12.0, -2.0, -1.0, -1.0, -1.0, 12.0, 8.0, -2.0, 10.0, -2.0]"
830,"[9.0, -1.0, -1.0, 8.0, 1.0, -2.0, 21.0, 0.0, -1.0, -1.0]"
840,"[-1.0, -1.0, -2.0, 3.0, -1.0, -2.0, 1.0, 1.0, 14.0, -1.0]"
850,"[5.0, 3.0, -1.0, 6.0, -1.0, -2.0, -1.0, -2.0, -1.0, -1.0]"
