Num episodes,Cumulative rewards
10,"[906.0, -207.0, -216.0, -226.0, -201.0, 874.0, -213.0, -207.0, 799.0, -202.0]"
20,"[-208.0, -226.0, 877.0, 791.0, -208.0, -218.0, -221.0, -217.0, -209.0, -227.0]"
30,"[-226.0, 807.0, 807.0, -208.0, -225.0, -227.0, -208.0, 806.0, -230.0, 807.0]"
40,"[-211.0, -226.0, -222.0, 805.0, -213.0, 882.0, 805.0, -227.0, -207.0, -225.0]"
50,"[-214.0, -227.0, -219.0, -225.0, -225.0, -208.0, -208.0, -224.0, -207.0, -204.0]"
60,"[-218.0, -204.0, -227.0, 790.0, -224.0, 790.0, -208.0, -228.0, 790.0, -226.0]"
70,"[805.0, -221.0, -214.0, 790.0, -227.0, -200.0, -208.0, -207.0, 807.0, -226.0]"
80,"[806.0, 805.0, -207.0, 796.0, -228.0, -228.0, -228.0, 805.0, 791.0, -208.0]"
90,"[-224.0, -226.0, -210.0, -222.0, 806.0, -215.0, 807.0, -217.0, -214.0, -213.0]"
100,"[-228.0, 806.0, -225.0, -228.0, -208.0, 805.0, 807.0, -228.0, -228.0, -208.0]"
110,"[-231.0, 807.0, -207.0, -200.0, -207.0, 807.0, -208.0, 807.0, -227.0, -226.0]"
120,"[805.0, -207.0, -211.0, -210.0, 870.0, -208.0, -207.0, -227.0, 791.0, 807.0]"
130,"[-221.0, -221.0, -228.0, -208.0, -228.0, -211.0, 790.0, 807.0, -227.0, 805.0]"
140,"[-228.0, -210.0, -213.0, -226.0, -209.0, -208.0, -221.0, 791.0, -225.0, -226.0]"
150,"[-208.0, -208.0, 790.0, -228.0, -216.0, 803.0, -222.0, 796.0, -225.0, -211.0]"
160,"[790.0, 790.0, -208.0, -224.0, -222.0, -228.0, 806.0, -227.0, -228.0, 796.0]"
170,"[805.0, -207.0, -227.0, -218.0, -222.0, -226.0, -228.0, 805.0, -207.0, -207.0]"
180,"[-226.0, 807.0, -208.0, -207.0, 807.0, -218.0, -230.0, 805.0, -226.0, -221.0]"
190,"[-227.0, -221.0, 790.0, 807.0, -203.0, -228.0, -226.0, 805.0, -208.0, -207.0]"
200,"[807.0, -208.0, -228.0, -208.0, -208.0, -224.0, 796.0, -208.0, 805.0, 796.0]"
210,"[-211.0, -208.0, -211.0, -221.0, -218.0, -221.0, -207.0, -226.0, -228.0, -211.0]"
220,"[-211.0, -209.0, -221.0, -222.0, -221.0, -211.0, -204.0, -208.0, -228.0, -216.0]"
230,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -201.0, -220.0, -200.0]"
240,"[-221.0, -209.0, -227.0, -213.0, -227.0, -215.0, -207.0, -209.0, -219.0, -222.0]"
250,"[-230.0, -200.0, -202.0, -230.0, -232.0, -231.0, -233.0, -231.0, -230.0, -231.0]"
260,"[-239.0, -237.0, -228.0, -229.0, -201.0, -230.0, -200.0, -238.0, -232.0, -233.0]"
270,"[-218.0, -219.0, -219.0, -217.0, -218.0, -219.0, -219.0, -217.0, -216.0, -217.0]"
280,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -210.0, -205.0, -200.0]"
290,"[-200.0, -223.0, 806.0, -205.0, -202.0, -207.0, -205.0, -208.0, -205.0, -218.0]"
300,"[-211.0, -207.0, -208.0, -208.0, -209.0, -209.0, -227.0, -221.0, -225.0, -228.0]"
310,"[-208.0, -218.0, -208.0, -208.0, -226.0, -208.0, -226.0, -208.0, -216.0, -208.0]"
320,"[-224.0, -213.0, -229.0, -221.0, -209.0, -208.0, -209.0, -227.0, -222.0, -223.0]"
330,"[-225.0, -211.0, -207.0, -211.0, -209.0, -217.0, -208.0, -209.0, -208.0, -229.0]"
340,"[-227.0, -223.0, -209.0, -228.0, -223.0, -208.0, -210.0, -211.0, -222.0, -226.0]"
350,"[-202.0, -227.0, -228.0, -228.0, -209.0, -201.0, -229.0, -228.0, -228.0, -210.0]"
360,"[-211.0, -222.0, -209.0, -211.0, -211.0, -208.0, -229.0, -211.0, -226.0, -208.0]"
370,"[-220.0, -203.0, -208.0, -211.0, -221.0, -227.0, -225.0, -208.0, -206.0, -227.0]"
380,"[-213.0, -221.0, -227.0, -225.0, -210.0, -211.0, -228.0, -227.0, -224.0, -229.0]"
390,"[-221.0, -233.0, -224.0, -213.0, -208.0, -211.0, -207.0, -211.0, -210.0, -226.0]"
400,"[-211.0, -228.0, -203.0, -218.0, -215.0, -211.0, -224.0, -227.0, -228.0, -207.0]"
410,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -217.0, -200.0, -200.0, -200.0]"
420,"[-200.0, -203.0, 829.0, -203.0, 831.0, -212.0, -207.0, -212.0, -204.0, -206.0]"
430,"[-218.0, -206.0, -206.0, -217.0, -205.0, -218.0, -218.0, -206.0, -201.0, -220.0]"
440,"[830.0, 828.0, 829.0, 823.0, 823.0, 814.0, 829.0, 827.0, 817.0, 829.0]"
450,"[-200.0, -211.0, -208.0, -227.0, -212.0, -228.0, -210.0, -204.0, -225.0, -227.0]"
460,"[-219.0, -211.0, -222.0, -226.0, -226.0, -225.0, -214.0, -227.0, -224.0, -200.0]"
470,"[-219.0, -210.0, -220.0, 802.0, -215.0, -219.0, -219.0, -220.0, -220.0, -219.0]"
480,"[-215.0, -215.0, -228.0, -225.0, -227.0, -227.0, -228.0, -228.0, -216.0, -205.0]"
490,"[834.0, -207.0, 841.0, 841.0, 835.0, -201.0, -204.0, 841.0, -204.0, -204.0]"
500,"[842.0, -201.0, 842.0, 842.0, 843.0, 842.0, 846.0, 840.0, 845.0, 843.0]"
510,"[848.0, 835.0, 843.0, 841.0, 843.0, 829.0, 841.0, 842.0, 842.0, 843.0]"
520,"[842.0, 845.0, 842.0, 842.0, 835.0, 841.0, 841.0, 841.0, 845.0, 842.0]"
530,"[838.0, 841.0, 842.0, 842.0, 841.0, 838.0, 843.0, 841.0, 842.0, 843.0]"
540,"[845.0, 847.0, 842.0, 842.0, 842.0, 842.0, 835.0, 846.0, 841.0, 835.0]"
550,"[846.0, 847.0, 836.0, 842.0, 835.0, 839.0, 842.0, 841.0, 836.0, 840.0]"
560,"[841.0, 846.0, 843.0, 844.0, 841.0, 845.0, 843.0, 845.0, 846.0, 843.0]"
570,"[842.0, 841.0, 842.0, 842.0, 799.0, 844.0, 843.0, 847.0, 842.0, 841.0]"
580,"[847.0, 836.0, 830.0, 841.0, 846.0, 847.0, 845.0, 842.0, 843.0, 847.0]"
590,"[846.0, 842.0, 840.0, 844.0, 842.0, 840.0, 843.0, 846.0, 841.0, -207.0]"
600,"[846.0, 845.0, 841.0, 841.0, 835.0, 838.0, 841.0, 842.0, 835.0, 843.0]"
610,"[847.0, 834.0, 843.0, 839.0, 843.0, 843.0, 849.0, 844.0, 848.0, 842.0]"
620,"[843.0, 843.0, 848.0, 841.0, 841.0, 843.0, 848.0, 842.0, 838.0, 845.0]"
630,"[842.0, 838.0, 844.0, 843.0, 844.0, 842.0, 842.0, 847.0, 837.0, 837.0]"
640,"[844.0, 843.0, 848.0, 842.0, 844.0, 843.0, 842.0, 842.0, 843.0, 843.0]"
650,"[842.0, 836.0, 843.0, 847.0, 843.0, 848.0, 842.0, 841.0, -203.0, 846.0]"
660,"[843.0, 843.0, 843.0, 837.0, 844.0, -203.0, 844.0, 843.0, 837.0, 844.0]"
670,"[843.0, 846.0, 841.0, 847.0, 837.0, 836.0, 846.0, 847.0, 842.0, 839.0]"
680,"[843.0, 843.0, 838.0, -203.0, 845.0, 852.0, 846.0, 837.0, 839.0, 844.0]"
690,"[842.0, 844.0, 842.0, 842.0, 843.0, 839.0, 837.0, 843.0, 838.0, 844.0]"
700,"[843.0, 848.0, 841.0, 836.0, 843.0, 843.0, 842.0, 843.0, 846.0, 842.0]"
710,"[843.0, 838.0, 842.0, 843.0, 843.0, 843.0, 837.0, 843.0, 843.0, 833.0]"
720,"[843.0, 837.0, 847.0, 837.0, 844.0, 848.0, 842.0, 847.0, 840.0, 838.0]"
730,"[844.0, 842.0, 843.0, 842.0, 842.0, 848.0, 844.0, 838.0, 843.0, 845.0]"
740,"[838.0, 842.0, 842.0, 843.0, 844.0, 838.0, 844.0, 844.0, 839.0, 843.0]"
750,"[842.0, 847.0, -208.0, 847.0, 843.0, 842.0, 844.0, 843.0, 843.0, 844.0]"
760,"[843.0, 842.0, 843.0, 843.0, 843.0, 844.0, 846.0, 842.0, 839.0, 847.0]"
770,"[838.0, 843.0, 849.0, 837.0, 846.0, 846.0, 838.0, 842.0, 837.0, 843.0]"
780,"[842.0, 845.0, 843.0, 839.0, 837.0, 848.0, 839.0, 847.0, 843.0, 842.0]"
790,"[843.0, 837.0, 847.0, 844.0, 846.0, 841.0, 843.0, 844.0, 846.0, 837.0]"
800,"[837.0, 844.0, 847.0, 847.0, 847.0, 843.0, 843.0, 840.0, 843.0, 844.0]"
810,"[842.0, 846.0, 846.0, 836.0, 847.0, -206.0, 842.0, 848.0, 842.0, 846.0]"
820,"[803.0, 839.0, 843.0, 844.0, 837.0, 839.0, 847.0, 843.0, 848.0, 843.0]"
830,"[848.0, 849.0, 838.0, 840.0, 843.0, 843.0, 844.0, 843.0, 843.0, 843.0]"
840,"[844.0, 841.0, 839.0, 846.0, 844.0, 848.0, 838.0, 844.0, 841.0, 847.0]"
850,"[844.0, 842.0, 838.0, 853.0, 842.0, 842.0, 848.0, 841.0, 848.0, 841.0]"
860,"[843.0, 846.0, 839.0, 838.0, -220.0, 842.0, 846.0, 844.0, 842.0, 837.0]"
870,"[-210.0, 841.0, 842.0, 847.0, 843.0, 842.0, 843.0, 846.0, 842.0, 835.0]"
880,"[843.0, 843.0, 844.0, 844.0, 843.0, 842.0, 834.0, 842.0, 837.0, 846.0]"
890,"[843.0, 844.0, 846.0, 838.0, 843.0, 842.0, 836.0, 844.0, 843.0, 848.0]"
900,"[838.0, 844.0, 841.0, 843.0, 848.0, 849.0, 844.0, 843.0, 842.0, 838.0]"
910,"[846.0, 838.0, 844.0, 845.0, 843.0, 842.0, 838.0, 844.0, 844.0, 843.0]"
920,"[842.0, 842.0, 846.0, 848.0, 847.0, 844.0, 843.0, 842.0, 846.0, 844.0]"
930,"[841.0, 843.0, 843.0, 843.0, 843.0, 844.0, 843.0, 843.0, 843.0, 843.0]"
940,"[843.0, 842.0, 844.0, 840.0, 843.0, 842.0, 842.0, 847.0, 841.0, 848.0]"
950,"[846.0, 844.0, 848.0, 843.0, 842.0, 842.0, 843.0, 845.0, 842.0, -200.0]"
960,"[839.0, 844.0, 841.0, 841.0, 837.0, 841.0, 846.0, 844.0, 843.0, 844.0]"
970,"[843.0, 841.0, 837.0, 837.0, -207.0, 837.0, 842.0, 843.0, 843.0, 843.0]"
980,"[846.0, 846.0, 842.0, 842.0, 836.0, 837.0, 848.0, 841.0, 842.0, 843.0]"
990,"[844.0, 843.0, 848.0, 842.0, 846.0, 842.0, 839.0, 846.0, 842.0, 843.0]"
1000,"[837.0, 843.0, 844.0, 848.0, 842.0, 848.0, 844.0, 843.0, 842.0, 843.0]"
1010,"[842.0, 846.0, 849.0, 837.0, 843.0, 842.0, 843.0, 844.0, 838.0, 838.0]"
1020,"[837.0, 836.0, 841.0, 841.0, 841.0, 843.0, 842.0, 842.0, 844.0, 842.0]"
1030,"[849.0, 846.0, 842.0, 843.0, 843.0, 843.0, 848.0, 847.0, 841.0, 842.0]"
1040,"[848.0, 843.0, 849.0, 848.0, 844.0, 843.0, 842.0, 843.0, 849.0, 843.0]"
1050,"[837.0, 844.0, 844.0, 846.0, -201.0, 848.0, 848.0, 846.0, 838.0, 842.0]"
1060,"[842.0, 843.0, -207.0, 846.0, 843.0, 839.0, 844.0, -210.0, 843.0, 846.0]"
1070,"[844.0, 847.0, 848.0, 840.0, 843.0, 846.0, 844.0, 846.0, 842.0, 837.0]"
1080,"[846.0, 843.0, 847.0, 839.0, 838.0, 842.0, 846.0, 846.0, 846.0, 843.0]"
1090,"[837.0, 845.0, 836.0, 843.0, 842.0, 846.0, 843.0, 845.0, 847.0, -202.0]"
1100,"[841.0, 837.0, 848.0, 846.0, 843.0, 837.0, 843.0, 846.0, 844.0, 846.0]"
1110,"[843.0, 845.0, 844.0, 843.0, 842.0, 837.0, 839.0, 842.0, 836.0, 846.0]"
1120,"[843.0, 848.0, 843.0, 848.0, 842.0, 843.0, 843.0, 843.0, 840.0, 844.0]"
1130,"[842.0, 843.0, 842.0, 843.0, 838.0, 842.0, 843.0, 843.0, 846.0, 838.0]"
1140,"[843.0, 843.0, 848.0, 841.0, 843.0, 843.0, 846.0, 838.0, 843.0, 841.0]"
1150,"[842.0, 846.0, 843.0, 847.0, 842.0, 846.0, 841.0, 839.0, 848.0, 844.0]"
1160,"[847.0, 843.0, 843.0, 843.0, 848.0, 842.0, 839.0, 844.0, 844.0, 837.0]"
1170,"[837.0, 844.0, 848.0, 843.0, 841.0, 843.0, 842.0, 841.0, 842.0, 842.0]"
1180,"[847.0, -201.0, 837.0, 837.0, 843.0, 843.0, 843.0, 843.0, 842.0, 842.0]"
1190,"[844.0, 843.0, 841.0, 843.0, 838.0, 843.0, 843.0, 842.0, 836.0, 848.0]"
1200,"[844.0, 845.0, 843.0, 839.0, 844.0, 842.0, -210.0, 842.0, 838.0, 839.0]"
1210,"[842.0, 843.0, 845.0, 846.0, 837.0, 842.0, 843.0, 841.0, 846.0, 837.0]"
1220,"[841.0, 837.0, 838.0, 841.0, 837.0, 840.0, 843.0, 842.0, 848.0, -207.0]"
1230,"[837.0, 848.0, 844.0, 843.0, 844.0, 838.0, 844.0, 843.0, 846.0, 844.0]"
1240,"[843.0, 838.0, 842.0, 848.0, 848.0, 842.0, 845.0, 842.0, 837.0, 843.0]"
1250,"[843.0, 842.0, 843.0, -207.0, 847.0, 841.0, 841.0, 838.0, 843.0, 839.0]"
1260,"[848.0, 842.0, 847.0, 842.0, 846.0, 843.0, 839.0, 846.0, 848.0, 848.0]"
1270,"[843.0, 843.0, 843.0, 843.0, 844.0, 848.0, 844.0, 843.0, 842.0, 837.0]"
1280,"[837.0, 840.0, 842.0, 846.0, 846.0, -218.0, 842.0, 842.0, 844.0, 844.0]"
1290,"[850.0, 842.0, 843.0, 841.0, 837.0, 842.0, 846.0, 844.0, 842.0, 844.0]"
1300,"[842.0, 842.0, 849.0, 846.0, 847.0, 841.0, 844.0, 846.0, 847.0, 846.0]"
1310,"[-216.0, 839.0, 842.0, 846.0, 837.0, 838.0, 843.0, 843.0, 848.0, 843.0]"
1320,"[843.0, 843.0, 848.0, 843.0, 847.0, 846.0, 833.0, 838.0, 844.0, 843.0]"
1330,"[848.0, -200.0, 844.0, 846.0, 843.0, 837.0, 843.0, 842.0, 848.0, 846.0]"
1340,"[837.0, 844.0, 844.0, 842.0, 843.0, 807.0, 848.0, 842.0, 843.0, 844.0]"
1350,"[844.0, 839.0, 844.0, 839.0, 846.0, 843.0, 843.0, 843.0, 845.0, 843.0]"
1360,"[842.0, 843.0, 846.0, -200.0, 843.0, 844.0, 852.0, 842.0, 844.0, 852.0]"
1370,"[-202.0, 841.0, 842.0, 843.0, 851.0, 842.0, 846.0, 841.0, 843.0, 848.0]"
1380,"[842.0, 843.0, 843.0, 843.0, 842.0, 842.0, 842.0, 843.0, 842.0, 842.0]"
1390,"[842.0, 843.0, 843.0, 846.0, 842.0, 837.0, 842.0, 842.0, -200.0, 846.0]"
1400,"[842.0, 846.0, 840.0, 842.0, 837.0, 842.0, 843.0, 843.0, -205.0, 842.0]"
1410,"[842.0, 844.0, 838.0, 844.0, 841.0, 843.0, 841.0, 848.0, 842.0, 846.0]"
