Num episodes,Cumulative rewards
10,"[1.0, -2.0, -3.0, -1.0, -1.0, -1.0, -3.0, 9.0, -1.0, -1.0]"
20,"[-2.0, 11.0, -1.0, -2.0, -2.0, -2.0, -2.0, 0.0, -1.0, -2.0]"
30,"[11.0, -1.0, 0.0, 20.0, -1.0, -3.0, 1.0, 21.0, -2.0, -3.0]"
40,"[24.0, 8.0, -2.0, -1.0, -2.0, 14.0, -1.0, 13.0, 24.0, 2.0]"
50,"[-1.0, -1.0, 0.0, -1.0, -1.0, 17.0, 0.0, 1.0, 8.0, 32.0]"
60,"[-1.0, 8.0, 0.0, 8.0, 1.0, -2.0, 11.0, -1.0, -2.0, -1.0]"
70,"[2.0, -1.0, -1.0, -1.0, 1.0, -1.0, -2.0, -1.0, 9.0, -1.0]"
80,"[1.0, 12.0, 19.0, 20.0, -1.0, -1.0, -2.0, -2.0, -1.0, 0.0]"
90,"[9.0, 0.0, -2.0, 9.0, -1.0, -1.0, 7.0, 0.0, -1.0, 0.0]"
100,"[-2.0, -1.0, -2.0, -2.0, -1.0, -3.0, -2.0, 15.0, -1.0, 25.0]"
110,"[-2.0, 29.0, -1.0, 0.0, 30.0, 1.0, 17.0, 1.0, -3.0, -2.0]"
120,"[12.0, -1.0, 10.0, -2.0, 12.0, -1.0, -1.0, -1.0, -2.0, 0.0]"
130,"[-1.0, 1.0, -3.0, 9.0, 0.0, -2.0, 0.0, -3.0, -3.0, -2.0]"
140,"[-2.0, 18.0, -1.0, 1.0, -2.0, -2.0, -1.0, 1.0, -1.0, -3.0]"
150,"[16.0, 0.0, 16.0, -1.0, -3.0, -1.0, -1.0, -1.0, -2.0, -2.0]"
160,"[-2.0, -2.0, 0.0, -1.0, -1.0, -2.0, -1.0, -2.0, 18.0, -2.0]"
170,"[21.0, 0.0, -1.0, -1.0, -1.0, 12.0, -1.0, -2.0, -1.0, 0.0]"
180,"[-2.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -3.0, -1.0, -1.0]"
190,"[-1.0, -1.0, 14.0, -3.0, -2.0, 13.0, 1.0, 15.0, 18.0, -3.0]"
200,"[-3.0, -2.0, 0.0, 0.0, 13.0, -2.0, 15.0, -2.0, -2.0, 0.0]"
210,"[3.0, 19.0, -3.0, 37.0, -1.0, -1.0, 5.0, -1.0, -1.0, 0.0]"
220,"[18.0, 19.0, -1.0, -1.0, 11.0, -1.0, -3.0, -2.0, -1.0, 0.0]"
230,"[50.0, 14.0, -1.0, -2.0, -3.0, 18.0, -1.0, -2.0, 0.0, 15.0]"
240,"[20.0, -1.0, -1.0, 34.0, -1.0, 21.0, 9.0, -1.0, -2.0, -2.0]"
250,"[12.0, -2.0, -2.0, -1.0, 5.0, 1.0, 11.0, 0.0, -3.0, 0.0]"
260,"[1.0, 24.0, -1.0, -1.0, -2.0, -2.0, 10.0, -2.0, -3.0, -2.0]"
270,"[8.0, -1.0, -1.0, 16.0, 6.0, -2.0, 5.0, 8.0, 14.0, -2.0]"
280,"[0.0, 6.0, -1.0, 13.0, -2.0, 15.0, -2.0, -2.0, 18.0, -1.0]"
290,"[-3.0, 11.0, 20.0, -1.0, 31.0, -3.0, -1.0, 0.0, 10.0, 11.0]"
300,"[10.0, -2.0, 16.0, 9.0, -1.0, -1.0, 12.0, 0.0, 15.0, -2.0]"
310,"[0.0, 5.0, -1.0, 16.0, -1.0, -1.0, -2.0, -1.0, -1.0, -1.0]"
320,"[5.0, -2.0, -1.0, 17.0, 24.0, 11.0, -1.0, -1.0, -2.0, -1.0]"
330,"[10.0, -2.0, -2.0, -2.0, -2.0, 17.0, -2.0, 0.0, -2.0, -1.0]"
340,"[-1.0, -1.0, -3.0, -2.0, -1.0, -2.0, -2.0, 0.0, -1.0, 0.0]"
350,"[-2.0, -3.0, -1.0, 1.0, 12.0, -1.0, -3.0, -2.0, -3.0, -3.0]"
360,"[10.0, -2.0, -2.0, -3.0, -2.0, -2.0, 0.0, -1.0, 0.0, -2.0]"
370,"[-1.0, 12.0, 13.0, 14.0, 0.0, -2.0, -1.0, 7.0, 0.0, 14.0]"
380,"[-2.0, 1.0, -2.0, 11.0, 15.0, -1.0, 1.0, 12.0, 9.0, 1.0]"
390,"[-2.0, 6.0, -1.0, 17.0, -1.0, -1.0, -1.0, 0.0, -2.0, -2.0]"
