Num episodes,Cumulative rewards
10,"[-134, -683, -663, -660, -656, 82, -657, -666, -100, -699]"
20,"[-660, -653, -661, -663, -659, -76, 254, -661, -655, -660]"
30,"[-662, -642, -678, -677, 258, 42, -672, -666, 192, -649]"
40,"[-650, -666, -666, -663, -652, -657, -660, -26, 44, -642]"
50,"[-655, -664, -661, 132, -658, -676, -673, -60, 292, 92]"
60,"[-668, -683, -665, -654, -679, -661, -671, -662, -677, 184]"
70,"[-659, -647, 118, -662, 242, -655, -666, -160, -654, 72]"
80,"[-144, 272, -671, -670, 268, -676, -686, -671, -657, -660]"
90,"[-36, -677, 260, -681, -655, -661, -678, -658, -128, -667]"
100,"[-648, 22, -651, 104, -652, -667, -681, -671, 46, -664]"
110,"[94, -659, -663, -687, -668, 292, -659, -670, -685, -659]"
120,"[-670, -666, -654, 10, -676, -670, 152, -657, -672, -646]"
130,"[-683, -675, -673, -44, 166, -651, 76, -674, -676, -663]"
140,"[-641, -666, 374, -670, -689, -672, -38, -664, -672, -658]"
150,"[-645, 220, -656, -679, -672, 128, -645, 164, -665, -653]"
160,"[-656, -666, -675, -676, 70, -661, -687, -66, -704, -680]"
170,"[-666, -677, -669, -651, -657, -693, -652, 350, -661, -108]"
180,"[-672, -672, -671, -674, 64, -666, -654, -677, -660, -62]"
190,"[-661, -82, 28, -682, -661, 86, -678, -674, -657, 116]"
200,"[-654, -673, -665, -650, -680, -666, -660, -659, 116, -671]"
210,"[-671, -683, -693, -669, 136, 136, -666, 214, -664, -656]"
220,"[-664, -668, -665, -14, -644, -667, -648, -651, -168, -657]"
230,"[-669, 178, -649, -679, -657, -657, -691, 104, -688, 166]"
240,"[-658, -681, 90, -50, -666, -661, -659, -664, -671, -661]"
250,"[-100, -650, -12, -680, -656, -22, -662, -653, -643, -665]"
260,"[-660, -665, -640, -686, -666, -104, 54, -672, -669, -673]"
270,"[-669, -660, -660, -76, -672, -680, -681, -670, -695, -667]"
280,"[-664, -657, -696, -652, 136, -683, -671, -36, -680, -670]"
290,"[-172, -685, -679, -657, -126, 6, -662, -686, 258, -671]"
300,"[-662, 172, -681, -687, -667, -688, 140, -666, -653, -662]"
310,"[-178, 162, -676, -674, -672, 120, -108, -683, -675, -664]"
320,"[-671, -648, -674, -691, -663, -644, -669, -659, -656, -54]"
330,"[-158, -658, -60, -676, -122, -668, -665, -10, -646, 248]"
340,"[-662, -668, -661, 58, 22, -657, -669, -12, 142, -681]"
350,"[-678, -683, -646, -647, -654, -642, 2, -653, -666, -58]"
360,"[-154, 102, -669, -656, -672, -124, -668, -669, -668, -669]"
370,"[132, 168, 202, 64, -684, -673, -667, -668, 246, -649]"
380,"[-681, 76, -671, -664, -689, -654, -677, -672, -658, -64]"
390,"[-644, 210, -666, 10, 264, -658, -678, -646, 190, 188]"
400,"[102, -683, -680, -660, -650, -38, -148, 254, 220, -651]"
410,"[-666, -658, -653, -664, -88, -652, -665, -645, -652, -654]"
420,"[-648, -662, -647, -660, -669, -660, -633, -654, -106, -674]"
430,"[-663, -677, -661, -659, -50, -657, -679, -662, -649, -670]"
440,"[-657, -654, -639, -649, -646, -645, -654, -655, -652, -652]"
