Num episodes,Cumulative rewards
10,"[-520.571128337056, -301.7882416864503, -383.8703375955543, -1567.2470424073817, -119.3806964357405, -332.9147674773679, -590.6509061474446, -510.50154138947187, -527.8061430793655, -959.7872799324236]"
20,"[-631.2574514146842, -261.24538553561825, -142.50643816301863, -454.70747366601245, -426.00947816667536, -470.06516063731254, -450.5280014872857, -253.46156141991156, -565.9995824332765, -799.3707651618114]"
30,"[-483.1905247602814, -1734.781279122169, -556.2075276454087, -447.20697243621606, -748.4785754947471, -194.43842701070753, -183.38409614870886, -552.9765195422555, -126.3508549723837, -166.59264803372957]"
40,"[-355.6057426123999, -784.6910313409164, -913.2855973402369, -293.8074697593174, -485.6489054008489, -152.08662229469306, -175.12228961498568, -416.6091235356066, -332.1412107318278, -389.98009405315065]"
50,"[-544.9429939457416, -734.2450006482184, -291.75559202596696, -244.8410453179131, -350.76828255582234, -357.2543296958921, -134.13407454430552, -585.0209521151605, -131.55048850658494, -557.3288736286117]"
60,"[-570.1328524821516, -6.645900789368952, -122.48352540060827, -231.0338538223217, -628.2958328863244, -343.8825700367776, -192.35285238927645, -642.9969556104736, -439.79738050665225, -730.3506537586616]"
70,"[-865.9709774801922, -381.7510112877225, -502.86473327992405, -302.1870353311484, -721.4299249859704, -292.1536955304415, -276.21876403728754, -146.1551836053479, -546.9755333433936, -335.1531241132243]"
80,"[-482.95391216812124, -505.6396398306075, -116.55777641126386, -630.8614048948914, -347.60937718990715, -310.5773767001574, -295.1402018200656, -512.7330472666677, -404.53551176375424, -557.9669719912288]"
90,"[-252.42624691332782, -523.4406720776773, -294.428669310463, -723.1013553993018, -290.1732490808215, -293.1835212733647, -340.91645281366397, -209.84203157276818, -570.4812156010041, -782.0975757627633]"
100,"[-326.0831508304004, -321.77141797596266, -858.5957312352191, -731.2869806423304, -413.41741519195193, -450.09402482050893, -63.71638577045583, -746.557310366675, -1842.473085399168, -684.1735544624414]"
110,"[-319.65806738906315, -137.79633140801255, -143.7794331788197, -627.3223283233024, -273.50443173645414, -230.16918470193832, -185.92709848383356, -411.2969062248693, -1684.4398789976105, -521.9892303175503]"
120,"[-761.317126432794, -556.1978727420278, -1580.950801435186, -374.09172068721125, -618.6420495283916, -470.2361423071377, -623.3097469066743, -361.36775957917104, -214.564970617696, -431.3197889198917]"
130,"[-129.10388602211464, -261.85424017045455, -518.4117703774773, -397.78978387976446, -104.75368957297877, -282.6711402032351, -159.3995100491481, -132.31245735190876, -419.132316883486, -344.04356725579385]"
140,"[-552.0306150298968, -462.30406641966306, -369.745494872121, -633.0824827184516, -263.2050495310161, -382.06496112362606, -169.1280708090297, -735.19542599381, -438.76671782640136, -75.30793555392913]"
150,"[-156.5426610421721, -665.7448836115616, -477.57106332605827, -449.0002551222798, -286.6262258891558, -871.2422297638004, -431.0664137996753, -393.5610462461594, -609.595848353796, -1736.3789701919263]"
160,"[-538.9688753533022, -285.5533981097098, -456.17966999141356, -663.3423753039522, -564.6868035505588, -138.91707843475157, -533.9249290449629, -617.5043575074527, -238.73113756016005, -443.7508757518412]"
170,"[-821.8437377535744, -348.45142312093094, -307.66145358149936, -436.85873826482214, -144.24303056960767, -438.070689964634, -166.495613610723, -347.6913580438047, -485.60434704513693, -395.8036867825141]"
180,"[-185.58554861218067, -297.40678133222605, -317.8068145348818, -150.23754521690668, -134.05513463384676, -148.3344046941997, -275.70765900559064, -364.3443778849591, -332.3987068859714, -584.2825660707101]"
190,"[-983.030706631042, -381.2978086093515, -651.0420235779139, -349.7805266165931, -771.7283107226856, -234.7209247065763, -294.59179478326826, -798.3779007854494, -205.6515335925405, -153.46816467692196]"
200,"[-1660.8407923328725, -165.56795746099104, -377.4755494613645, -441.2846866425496, -385.85086431901215, -644.6495940229831, -623.688182652259, -107.07201112894381, -216.3743859332126, -416.1327252357011]"
210,"[-197.80311946418925, -606.8487091175515, -415.62540943936557, -244.38491722152273, -145.1906581853608, -759.9635430427322, -115.84372388637999, -554.4552729449647, -211.6030101573766, -561.8345587465112]"
220,"[-137.31735357730727, -305.2226766884776, -622.69474135151, -213.72279803978597, -123.5657120197605, -209.0099874144424, -173.6121712055706, -298.85735406805566, -367.1827833072324, -1588.3085441231103]"
230,"[-915.4745421095922, -917.7881054850187, -530.3066212584006, -125.9752510046191, -416.12842124877, -261.26143219375814, -153.09032268656088, -562.2081757256892, -864.1932978469445, -373.04330915348214]"
240,"[-796.4005203225757, -448.74593688503177, -264.08108745232926, -165.46347393065952, -520.2680291235538, -107.79395479312225, -776.0678472462307, -786.4799201807459, -1603.8937890023076, -1533.9416825151518]"
250,"[-954.571000734622, -433.90021666551684, -161.252555043603, -255.93122572144597, -430.7283256130012, -319.7187786423109, -366.1957883749967, -274.9978988175541, -342.2912829395955, -292.2917576892969]"
260,"[-76.01078679032067, -411.4044674087072, -469.7041418330267, -496.0281965989209, -772.779842861093, -322.9402811203305, -638.7008803778454, -221.54093419181999, -231.10726522910073, -565.3301487522966]"
270,"[-428.1678285928993, -498.4830518286957, -1294.716801415555, -432.05856771899585, -256.73302229822855, -365.3939784835876, -489.6157142926279, -437.086955043357, -462.36170550576503, -134.36981482846267]"
280,"[-460.33821163467763, -482.420450100745, -390.60703691631255, -718.7093812463194, -40.41119580596463, -170.54698336548688, -352.7796956905251, -525.668903122295, -153.1002319618758, -540.1442480608835]"
290,"[-117.38233587913516, -120.53437652717975, -380.6526535155981, -281.7648711177318, -299.93791430110974, -1664.6584854981618, -292.2500858816803, -419.1045506838709, -174.535428409222, -426.685922588811]"
300,"[-757.0587168666757, -898.9074330932889, -106.92856141803341, -301.7380222391827, -431.2039483632584, -322.51020390708743, -296.73245892001404, -329.29071534170964, -558.8559473310854, -318.4555623013328]"
310,"[-631.724433309696, -228.07908961642033, -538.8895382838393, -492.60900456619356, -463.99836431576546, -299.7066117657796, -261.2560411464331, -625.9676954536686, -926.193445777042, -1761.376174910112]"
320,"[-492.5231970305783, -612.0297686021682, -103.05049993507828, -535.2221757102269, -500.74038066993506, -190.01294290311407, -348.68301530655737, -241.85144486833008, -485.7766071230285, -496.605988077225]"
