Num episodes,Cumulative rewards
10,"[-135.27656067974036, -116.37125271699159, -594.4628671946634, -427.02649814180944, -434.4616109975238, -503.40470973871675, -756.7295079062301, -340.56489679195647, -138.6173364889885, -90.25545622485402]"
20,"[-41.99033462018966, -508.64700449485576, -175.35719402523716, -569.5268785742718, -515.2477564473734, -510.3368173563048, -725.5474725757797, -126.00341449142262, -93.90666919865463, -615.6457494912783]"
30,"[-162.41418250316607, -169.9086025370591, -133.79085485529887, -441.1361151441908, -264.8633765808617, -172.77106954657557, -533.7354543849299, -594.245116057866, -509.9344705852453, -151.8327399088141]"
40,"[-144.3600320867308, 47.63919976397088, -171.25426545834486, -458.01390012399276, -16.525236859588233, -86.73870565545141, -143.12647584040008, -131.72979612201578, -44.61191888412425, -123.86809853490448]"
50,"[-105.67510083385676, -484.83762430676757, -257.8771984910964, -555.8004358454745, -463.0418162331269, -544.3419357756311, -672.2601980498484, -770.8110886232396, -120.94907795206565, -621.6836923439124]"
60,"[-122.12014588709904, -119.9656307594231, -127.50158074264678, -132.60730611119624, -604.0053198500036, -113.69750702165311, -126.83417029138411, -266.21717233854133, -120.81884841846261, -571.6253215680656]"
70,"[-88.8232415729793, -131.07022859784283, -386.49154390811964, -661.507802439572, -66.52852031782587, -112.33793882503912, -142.45577150168972, -123.17340669447418, -115.47871404423404, -533.0622055478547]"
80,"[-102.89828012978921, -1182.9470946625963, -454.66738880927244, -612.3039581522892, -572.4435240305402, -124.80228965273668, -87.45391107536585, -568.5688719991887, -590.5838127425462, -118.46536569418512]"
90,"[-117.38152766367406, -172.74760393079478, -536.9571975854084, -448.4160074626025, -435.9616454942404, -165.00736856105175, -453.1579494829336, -100.85019802477416, -124.00326290409328, -112.84814527019866]"
100,"[-84.5392034264679, -172.19564954436945, -149.0653910767941, -140.37692016225822, -618.3667293856296, -344.6857579176226, -169.51542076796608, -508.04933435221164, -501.1186720317837, -100.62010976765262]"
110,"[-193.4739631661318, -92.42567367387184, -129.0079143673496, -150.45675203564605, -284.35498372390543, -129.50762734949308, -108.478898866733, -111.22595496095019, -668.8940198916368, -897.247152445776]"
120,"[-526.5905408186386, -265.08766689332634, -831.7153695137683, -160.34250432329455, -117.50516981939458, -534.1820695178421, -824.1937634321588, -467.15214167750884, -645.2624103666732, -121.18702706251443]"
130,"[-146.35104642515984, -98.32315437061561, -361.8490065791174, -115.08446894890115, -180.179643609266, -515.6540535308501, -123.88103134263281, -479.49474388038925, -95.90769441892692, -120.65194991338575]"
140,"[-111.56054205079197, -628.1674433883809, -463.8488049601925, -505.9039904900475, -593.3677308026827, -795.2802040390048, -625.9563229941763, -877.0165150464452, -472.6682798441085, -116.02703506439119]"
150,"[-508.17077856026435, -165.60418603367793, -129.22055426960384, -882.2408220363244, -399.86449138623686, -204.88472743381718, -716.4507574783148, -411.68424272556564, -629.4135663021002, -516.1246667225457]"
160,"[-547.5538796260106, -143.68135609770832, -436.2194974777753, -225.96081031600053, -445.4884917309066, -199.3751044059934, -574.4325059205761, -85.40839058005993, -553.7454641985655, -517.4329951621073]"
170,"[-96.64746461369933, -139.7569584469924, -129.56638824868986, -600.1714851577669, -498.19945257213953, -504.28907466896, -139.8746749392136, -141.32138025568923, -132.90175670711054, -482.72521227391326]"
