Num episodes,Cumulative rewards
10,"[975, -1019, -1087, -1005, 976, -1045, -1006, -1010, -1016, -1036]"
20,"[949, -1008, -1008, 977, 965, -1090, -1022, -1028, -1026, 948]"
30,"[-1039, 947, 969, 973, 929, 979, 962, 952, 977, 972]"
40,"[977, 977, -1014, 986, -105, -1007, -1029, -1013, 976, 977]"
50,"[-1054, 991, -1036, -1043, -1006, 928, -1007, -1033, 966, 954]"
60,"[991, -1015, 975, 991, 981, 991, 992, -1053, -1025, -1042]"
70,"[-1007, -1022, 972, 983, -1028, -1056, 970, -1021, 991, 993]"
80,"[963, -1019, 977, -1023, -1012, 993, -1042, 983, 963, -1028]"
90,"[989, 993, 979, -1020, -1010, -1043, -1060, 974, -1029, 992]"
100,"[983, 980, -1029, 984, 958, 976, 975, 983, -1007, -1006]"
110,"[958, 987, -1013, -1031, -1008, 933, -1025, -1019, 995, -1023]"
120,"[-1045, 989, 984, 990, 988, 953, 976, 980, -1036, 969]"
130,"[990, 994, -1014, -1028, 986, 980, -1043, 994, 964, 978]"
140,"[-1066, 954, -1042, 983, -1015, 960, -1025, -1080, 975, 994]"
150,"[989, -1058, -1030, 992, 992, -1006, 937, -1009, 993, -1007]"
160,"[-1006, 979, -1044, -1012, 992, 963, -1016, -1005, -1019, 986]"
170,"[981, 989, -1031, -1004, -1013, -1017, 979, -1018, -1036, 948]"
180,"[982, -1029, 987, -1007, -1005, -1024, 993, -1009, -1038, -1042]"
190,"[-1025, -1021, 994, 929, 983, 956, 975, -1036, -1024, -1016]"
200,"[941, -1008, 988, 955, 987, 962, 925, -1016, 991, 972]"
210,"[948, 983, -1034, -1026, -1006, 934, 964, 951, 984, 979]"
220,"[-1014, -1011, -1013, -1010, 964, 990, 988, 963, -1032, -1015]"
230,"[985, -1036, -1028, 973, 994, 992, -1061, -101, -1051, -1016]"
240,"[986, -1050, -1014, -1027, 970, -1032, -1010, -1035, -1052, 967]"
250,"[993, 989, -1013, -1011, -1006, -1008, -1035, -1014, -1010, -1009]"
260,"[986, -1024, -1013, 976, -1024, -1013, -1058, -1018, 972, 933]"
270,"[984, 993, -1008, -1047, -1069, 990, -1072, -1019, 944, -1005]"
280,"[-1026, -100, -1008, 985, 995, 975, 996, -1014, -1075, 995]"
290,"[987, -1005, 974, 976, -1005, 967, -1009, 987, -1012, 991]"
300,"[951, -1047, 964, -1022, 993, 982, -1012, -1036, -1017, 983]"
310,"[-1035, -1010, -1026, -1039, -1092, -1013, -1010, 993, -1014, -1052]"
320,"[-1028, 989, -1013, -1006, -1022, -1022, 989, -1009, 985, 990]"
330,"[982, -1023, 975, 974, -1009, 992, -1031, -1020, -1043, 961]"
340,"[988, -1027, 958, -1009, 990, -1059, 991, -1027, -1008, -1012]"
350,"[-1009, -1007, -1010, -1012, -1008, -1030, -1029, 989, 913, -1021]"
360,"[977, 989, -1009, -1025, 953, -1045, 965, 989, -1028, 965]"
370,"[946, -1026, -1005, 987, 986, -1007, -1026, -1007, 968, 987]"
380,"[934, 979, -1031, -1030, -1048, 992, 996, -1043, -1050, -1015]"
390,"[-1006, -1055, -1015, -1031, 984, 928, -1060, 988, -1026, -1033]"
400,"[966, 984, 980, -1016, -1010, 990, 980, -1054, -1031, -1028]"
410,"[970, 992, -1009, 991, 974, -1053, 974, 973, -1033, -1095]"
420,"[-1015, -1006, -1013, -1007, 995, 991, -1012, -1039, -1015, -1062]"
