Num episodes,Cumulative rewards
10,"[-1010, -1078, -1018, 969, -101, -1059, -1073, -1044, -1008, -1037]"
20,"[993, -1007, -1052, 933, -1027, -1028, 991, 941, 956, 983]"
30,"[989, 949, -1088, 954, 960, -1043, -106, 992, -104, -107]"
40,"[968, 989, 977, -1066, -1035, 923, 935, -1033, -100, 920]"
50,"[-1017, -1101, 972, 950, -1033, -1086, 897, -1012, -1071, 966]"
60,"[-1021, -1013, -1020, -1025, -1044, 988, -100, -103, -1008, 975]"
70,"[946, -1027, -1008, -1021, -100, 982, 991, -1009, -1038, -102]"
80,"[951, 932, -1013, 985, 991, 945, -1008, -100, -1019, -1091]"
90,"[-1022, -1010, -1010, 972, -100, -105, -1095, -1056, 901, -1094]"
100,"[-1016, 990, 980, -1009, -1012, 918, 958, -1009, -1085, -1053]"
110,"[-1038, 906, -1021, -1100, 970, -1017, -100, 993, -1016, 956]"
120,"[958, 949, -1036, -1031, -1019, -1066, 965, 986, -1048, 967]"
130,"[-105, -1051, -1024, -1089, -1044, 953, -1058, -1096, -1061, 939]"
140,"[944, 994, 970, 948, -1034, -1047, -1024, 948, -1037, -110]"
150,"[980, 956, -108, 976, -1047, 976, 922, 983, -1013, 986]"
160,"[927, -1008, -1028, 957, -1048, -100, -101, 989, 916, -1006]"
170,"[995, 980, -1017, -1042, 956, -1019, -1013, 947, -1060, 989]"
180,"[-1070, -103, -1021, -1025, 990, -1036, -100, -1052, -1013, -106]"
190,"[911, 919, -1037, 949, 943, -1015, 991, 933, -1099, -1069]"
200,"[919, 948, -1017, 947, -1030, 966, 991, -1006, 945, -1010]"
210,"[978, -1049, -100, -107, -1026, -1028, 971, 934, -1013, -1009]"
220,"[-1010, 961, 989, -1023, -1101, -104, -1034, -1048, 942, -101]"
230,"[-1080, 985, -1012, 974, 951, 983, 915, -1014, -101, -101]"
240,"[933, 991, 978, -1030, -102, -104, -1070, 981, 975, 957]"
250,"[-103, 972, -102, 930, 974, -1030, -1043, 987, 914, 978]"
260,"[-1057, -1026, -1097, -1006, 973, 973, 986, 972, 923, 950]"
270,"[959, 977, -1045, 979, -1077, -1026, 917, -1040, 917, 978]"
280,"[909, -1009, 917, -1034, 938, -100, -1022, 933, -101, -1055]"
290,"[935, -1060, 979, 975, -1035, 991, 974, -1053, -105, -1073]"
300,"[918, -1009, 980, 968, -1032, -1036, -1015, -1005, -103, 988]"
310,"[-1054, -1028, 982, -1012, -1005, 936, -1085, -1035, 992, 978]"
320,"[973, -1023, 973, 885, -100, -1013, 955, -1050, 945, 978]"
330,"[-1046, 978, 968, -1022, -1013, -101, -1005, 972, -106, -1037]"
340,"[977, 988, -1048, 936, -1070, -1030, 906, -1019, -1048, 951]"
350,"[927, -100, -1054, -1024, 917, -1010, -1088, -1056, 967, -1074]"
360,"[-1010, -1048, 988, -1018, -100, 968, -1044, 978, 920, -101]"
370,"[-103, -100, 958, -105, 983, -1034, 994, -102, 926, -1019]"
380,"[-1073, -104, 961, 990, 953, 935, -1067, 980, 954, -1033]"
390,"[-129, 937, 968, 986, 983, -110, 991, -1021, -100, -1015]"
400,"[970, 939, 988, 930, -1021, -100, -1011, 958, 983, 924]"
410,"[976, -1055, -1030, -100, 985, -1068, 975, -102, 976, 897]"
420,"[993, -1036, -1070, -1062, -1041, -1020, -106, 929, -1052, -1017]"
430,"[961, -1064, 941, 970, -1044, 966, 943, -1019, -1020, 986]"
440,"[-100, -1097, -1038, -106, 965, -1030, -103, 989, -1020, -1041]"
450,"[-111, 955, 951, 943, 985, 929, 993, 932, -1071, 967]"
460,"[-1035, -101, 989, 965, -1089, -1023, 941, 992, -100, -1012]"
470,"[-103, 958, -1066, -1070, -1006, 961, 993, 913, -104, -102]"
480,"[955, 984, -1009, -101, 980, -1031, -1033, -1046, 973, 923]"
490,"[-1046, 981, 979, 975, 933, -1109, 953, -1014, -101, 950]"
500,"[941, -1060, 956, -1046, 992, -100, -105, -1095, 903, 943]"
510,"[957, -1075, -106, -1063, 952, 975, 968, -1025, -101, 953]"
520,"[-1022, 941, -104, 988, 939, 960, 932, -1063, 948, 952]"
530,"[-100, -1059, 983, 939, -1016, -1038, -1027, -1024, 974, 967]"
540,"[972, 954, -102, -1033, -1013, 929, -1065, -1044, -1027, 978]"
550,"[992, -100, 968, 922, 923, 987, 983, -1007, 973, -1011]"
560,"[-1026, 958, -103, 973, -1070, -1038, 925, 981, 987, -1083]"
570,"[-1044, 924, -1014, -1084, -1035, 970, 935, -1098, 991, -1012]"
580,"[-1028, 944, 934, 942, 944, 956, -100, 974, 895, 952]"
590,"[-1065, 994, -1061, -1046, 966, 989, -1041, -1017, 925, -104]"
600,"[988, -1021, 962, -1059, 906, 959, -1043, 960, -1029, -1017]"
610,"[976, 971, -1009, -1010, 989, -106, -1019, 985, 954, -1092]"
620,"[934, -1011, -1069, -1048, -1023, 990, 953, -1034, 958, -1087]"
630,"[-1037, -107, 959, 992, 963, 905, -1031, -104, 989, -1072]"
